photo,comment,comment_en,sequence_length
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/fa17d2ee23331458b1cde1b170681a8a4a352d52.jpg,ถนนเป็นหลุมเป็นบ่อ เนื่องจากน้ำท่วมขัง,The road is a bumpy. Due to flooding,38
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/2b7758f67852ffe1ea2617c13b1d6b54fc44146c.jpg,ปัญหาน้ำท่วมขัง สุดซอย ด้านขวา ซ.เฉลิมพระเกียรติ 48 แยก 24 (สุดซอย แยก24) เนื่องจาก ถนนต่ำกว่ารอบด้าน และเป็นบริเวณเดียวจากในซอยทั้งหมดที่ไม่ได้รับการทำถนน และวางท่อระบายน้ำ และรอบด้านเป็นคลอง และบ่อน้ำเมื่อฝนตก น้ำท่วม จึงประสบปัญหาเป็นอย่างมาก และไม่สามารถเดินทางไปมาได้ (ร้องเรียนมากว่า10ปี) ยังไม่เคยได้รับการแก้ไข ช่วงนี้ฝนตก อย่างน้อย ขอกระสอบทราย มากั้นบริเวณทางน้ำ เป็นแนวยาว เพื่อป้องกันน้ำท่วมเข้าบ้าน และขอช่วยมาทำถนน วางท่อระบายด้วยค่ะ,"Flooding problems at the end of the alley on the right Soi Chaklim Phra Kiat 48 Intersection 24 (at the end of Soi 24) because the roads are lower than all around. And is the only area from all the alley that has not been made And laid the drain And all around is a canal And the pond, when it rains, floods, therefore experienced a lot of problems And unable to travel back and forth (Complaints for more than 10 years) have never been resolved. During this period, it rains, at least asking for sandbags to block the waterway in a long way to prevent flooding into the house. And would like to help come to make the road Place the drain too.",456
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/b98868652d2a2d04edfda3937b6fbb8f0946eeb9.jpg,ปัญหาน้ำท่วมขัง สุดซอย ด้านขวา ซ.เฉลิมพระเกียรติ 48 แยก 24 (สุดซอย แยก24) เนื่องจาก ถนนต่ำกว่ารอบด้าน และเป็นบริเวณเดียวจากในซอยทั้งหมดที่ไม่ได้รับการทำถนน และวางท่อระบายน้ำ และรอบด้านเป็นคลอง และบ่อน้ำเมื่อฝนตก น้ำท่วม จึงประสบปัญหาเป็นอย่างมาก และไม่สามารถเดินทางไปมาได้ (ร้องเรียนมากว่า10ปี) ยังไม่เคยได้รับการแก้ไข ช่วงนี้ฝนตก อย่างน้อย ขอกระสอบทราย มากั้นบริเวณทางน้ำ เป็นแนวยาว เพื่อป้องกันน้ำท่วมเข้าบ้าน และขอช่วยมาทำถนน วางท่อระบายด้วยค่ะ,"Flooding problems at the end of the alley on the right Soi Chaklim Phra Kiat 48 Intersection 24 (at the end of Soi 24) because the roads are lower than all around. And is the only area from all the alley that has not been made And laid the drain And all around is a canal And the pond, when it rains, floods, therefore experienced a lot of problems And unable to travel back and forth (Complaints for more than 10 years) have never been resolved. During this period, it rains, at least asking for sandbags to block the waterway in a long way to prevent flooding into the house. And would like to help come to make the road Place the drain too.",456
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/65df27bac61c8ed19a316c96fa4e8ebd2c866a46.jpg,กิ่งไม้ บังสัญญาณไฟจราจร,"Tree branches, traffic lights",24
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/00c9d91ccac46b1ac942357690a4333bae6e0c74.jpg,ยังคงมีการจับกลุ่มกินแอลกอฮอล์และจอดรถจักรยานยนต์บนทางเท้าอยู่ค่ะ,There is still a group of alcohol and motorcycle parking on the sidewalk.,65
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/17710bc0fcd9524629ac7a78a646c8e205ec020c.jpg,ปัญหาเดิมๆ 2~3 เดือน แก้ไขโดยไปคุย แล้วไม่เคยทำได้ เรื่องสุนัข จร คนเลี้ยง รับปากจะทำนั้นทำนี่ ไม่ทำจริง ต้องให้ ชาวบ้านอดหลับ อดนอน มานั่งรอยา รออะไรอีก แค่จับไป แล้ว ยาและกรงมาเมื่อไร เอาคนมาตรวจสอบ เลี้ยง ค่อยอนุญาต ให้เลี้ยง ก็ว่าไป * ให้ชาวบ้านเดือดร้อน รอ มันถูกที่ไหน?,"The same problem, 2 ~ 3 months, fixed by talking And never done about the dogs. The party promised to do that. Do not really do. Must have the villagers sleep. Sleep and wait to sit and wait for the drug. Wait. Bring people to inspect and raise. Allow to raise.",275
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/3354626cbdf1bfde388caa1ba437f3bb09b74869.jpg,ต้นไม้ในที่รกร้างสูงใหญ่โดนสายไฟ และกำละงจะล้มขวางถนน อาจทำให้การสัญจรไม่ได้,"Trees in a large, high desolate And will fall in the road May cause traffic",76
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/544047f0f8a09bb456d9ce182e235939b96ed32b.jpg,มีการนำขยะมาทิ้งไม่เป็นที่ ทิ้งบนทางเทา ไม่มีถังขยะรองรับ,The garbage is not dumped on the gray. There is no trash.,57
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/72fa8751ea2c2ec0cb548e5cdeb04adb0dfe1463.jpg,สายไฟ/สายสื่อสาร มันย้วยลงมาละพื้นถนนค่ะ,Power line/communication cable It bias down to the road surface.,40
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/862e49e07377db6a2eacee39e42b6b9b686594ec.jpg,ปลูกต้นไม้ใกล้รั้ว และ ไม่เคยที่จะใส่ใจดูแล ปล่อยให้ต้นไม้โต จนใบไม้กิ่งไม้รุกล้ำเข้ามาบ้านเรือนข้างเคียง พอแจ้งไปกว่าจะดำเนินการเป็นเดือนๆ  แถมชอบมาอ้างว่า ไม่ทราบ จนท ไม่เห็นบอก หรือต้องใช้เวลานานเพราะเป็นนิติบุคคล นุ่นนี่นั่นชักแม่น้ำทั้ง 5 รบกวนลงมาจัดการหน่อย  เวลาลมมาทีใบไม้ปลิวเข้าบ้านที เป็นมาสิบๆปี แจ้งเขตก็ไม่สนใจ แจ้งทางจนท ที่ดูแล ก็ไม่สนใจ,"Plant trees near the fence and never care. Let the tree grow Until the leaves branching into the neighboring houses After notifying it to proceed for months As well as claiming that he didn't know that he could not see or take a long time because it was a juristic person Nun is that 5 rivers, please come down to deal. When the wind came to the house, it had been fly into the house for ten years. The district was not interested in notifying the way until he was not interested.",354
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/2ef715f31b9bd5a89e5633971f41fd9a688ea833.jpg,ซ่อมผิวจราจรถนนชำรุด,Repairing damaged skin,20
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/60c6e8a1ff71a41b8f861660c7c32aa7b18ceef4.jpg,แจ้งรถติด,Notify traffic jams,9
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/94d098d8977dfe7e22f4bd83c6fa993bd9b44f64.jpg,มีรถลักษณะเหมือนรถขโมยมา หรือรถเก่าที่นำมาทิ่ง จอด บริเวณทางเข้าวัดแสนสุข ด้านหลังรถมีเขียนพ่นสีว่ารถขโมย จอดไว้หลายสัปดาห์แล้วค่ะ สภาพไม่น่าจะขับไปได้,"With a car like a car stolen Or the old car that is parked at the entrance to Wat Saen Suk Behind the car, there is a paint that the car stolen. Parked for many weeks The condition is unlikely to drive.",151
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/f24a22e5ac89af002cb0cd2fda8cd11d332ad2b3.jpg,น้ำท่วมขัง ความสูงระดับข้อเท้า น้ำท่วมน้อยกว่า 1 วัน,Flooding the ankle level The flood is less than 1 day.,52
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/17bced526533e8267d7d31c793b9a15321faf8cd.jpg,ขอความอนุเคราะห์ช่วยระบายน้ำ กลางๆซอยสายไหม75หมู่บ้านวันวรา1 มีน้ำท่วม ห้องน้ำเริ่มมีปัญหา ความสูงระดับหน้าแข้ง น้ำท่วมน้อยกว่า 1 วัน,"Please help to drain the water. In the middle of Soi Sai Sai 75, Wanwara Village, 1 flooded, the bathroom started to have problems. Shin height The flood is less than 1 day.",133
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/7c77a86ce71f25d447430377951f4e4e0c0c0c1a.jpg,การระบายน้ำช่วง 3 วันนี้ ช่วงพายุเข้า คงเป็นงานยากและหนัก แต่ก็ขอเพียงอย่างเดียว ยังพอเร่งระบาย สูบออกไปได้ อยากให้ทำนะคะ ขอบคุณค่ะ,"The drainage of the 3 days during the storm is probably a difficult and heavy work. But only request Still able to speed up the pump, would like to do it. Thank you.",131
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/8b2b0fc5d29a7d652b65da7e8f0fd43d5b27d709.jpg,ถนนในซอยสุวินทวงศ์ 47 ชำรุดอย่างหนัก เป็นหลุมบ่อขนาดใหญ่ มีน้ำขัง ตรงบริเวณหน้าศูนย์พัฒนาเด็กเล็กชุมชนแผ่นดินทองวัดราษฎร์บำรุง และสวนราษฎร์ภิรมย์,"The road in Soi Suwinthawong 47 is heavily damaged. Is a large pothoch with water in front of the Child Development Center, Thong Thong community, Rat Bamrung Temple And Suan Rat Phirom",145
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/eacdcde5db189e76063161e9ff99c563246fc720.jpg,ตัวอย่างการแจ้ง รบกวนมาเก็บขยะด้วยครับ,Example of notification Please come to collect garbage too.,38
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/cb4201b35a379fa60ab252af1dce0d864d2b28ac.jpg,เสาไฟฟ้าไม่มีดวงไฟ,Electric pole without fire,19
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/105ebca1c032746678555b72a912986b13e9f47d.jpg,โครงการซ่อมแซมสะพานข้ามแยกเจริญราษฎร์ใช้เวลานาน แต่ละวันแทบไม่เห็นผู้รับเหมาทำงานเลยค่ะ ช่วงเช้ารถสะสมยาวมาก เกือบถึงแยกเพชรเกษมฝั่งธนฯค่ะ,"Project to repair the Bridge across Charoen Rat Intersection for a long time Each day, hardly see the contractor working at all. In the morning, the car accumulates very long. Almost to Petchkasem junction",138
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/6ba40d4d34c878ee4fe1af1a4d2f8b8740efe9f9.jpg,ถนนในหมู่บ้านหลังคาแดง ซอยเคหะร่มเกล้า 24 แยก 5-3 พบคราบน้ำมันเครื่องลอยขึ้นมาจากท่อน้ำ,"Road in the red roof village Soi Romklao Housing, 24 intersection 5-3, found oil stains floating up from the water pipe.",87
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/8f1aabf5d26c6889c31382074b59cd1e508e756a.jpg,น้ำท่วมเน่าขัง มีหลุมหลายหลุมตลอดซอยค่ะ ความสูงระดับหน้าแข้ง น้ำท่วมมากกว่า 1 สัปดาห์,Flooded There are many holes throughout the alley. Shin height More than 1 week of flood,85
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/16d6b7d9ed3f05fc114c4e944c7ce8942a3ac15a.jpg,ขอบคุณที่ยังมีคิดแก้ไขปัญหาอยู่ตลอดนะครับ ขอบคุณที่นำแผงเหล็กมากั้น แต่มันกั้นไม่สุดครับ เหล่าผู้กระทำผิดทั้งหลายก็แค่ขับอ้อมไปไกลขึ้นอีกนิดเท่านั้นเองครับ(ตามเส้นสีแดงที่ผมวาดไว้) เนินทางขึ้น-ลง(วงสีน้ำเงิน)ก็ยังอยู่ครับ ยังคงเป็นทางขึ้น-ลงได้อย่างดี ให้เจ้าหน้าที่นอกเครื่องแบบไปยืนดูก็ได้ครับว่าเค้าขับกันแบบนี้จริงๆมั้ย จะให้มันจบแบบถาวรเลยจริงๆ ก็ต้องกั้นคอกปลูกหญ้าปลูกต้นไม้เหมือนบริเวณข้างๆ (เลยจากเส้นสีแดงที่ผมวาดไปอีกนิด) ทำขอบกระถางให้มันสูงๆหน่อย ถ้ามันยังมาทุบทิ้ง ยังมาขับอยู่ก็ติดกล้องลากตัวเข้าคุกเลยครับ ฐานทำลายทรัพย์สินแผ่นดิน คิดทั้งทีเหนื่อยทั้งทีเอาให้จบครับ ขอบคุณมากครับ,"Thank you for always thinking about solving problems. Thank you for bringing the iron panel to block. But it doesn't block the most All the offenders just drive a little further. (According to the red line that I draw), the up-down hill (blue band) is still there. Still a good way up-down Allowing officials outside the uniform to stand and see if they really drive like this Will really end it permanently Had to block the grass, plant trees like the beside (From the red line that I draw a little more) made the edge of the pot to make it a little high If it still smashed Still driving, then attached the camera to drag him into prison. Base to destroy the land property Thinking of being tired when finished thank you very much",595
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/e2409e12c92b68670338dbba98214bf6de175343.jpg,หลอดไฟ 2 ดวงตรงทางเดินระหว่างซอยประดิพันธ์ 1 และ 3 ดับครับ,2 light bulbs at the path between Soi Pradan 1 and 3,58
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/56227bebca698f919fb6f22a0b3479252cadac01.jpg,แจ้งฝาท่อแตกค่ะ,Report the pipe cover,15
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/2602097bad3428fd0f4aa78794c65e3d95c5153b.jpg,เศษขยะมีคนมาทิ้งไว้ริมฟุตบาทหน้ามินิบิ๊กซีหนองแขม ฝากจัดการหน่อยครับ,"The debris was left on the footpath in front of the Mini Big C, Nong Khaem. Please manage it.",68
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/39dd90c7ad062e6e18fbaa3820274cc8b787f53c.jpg,เสาไฟต้นนี้ไฟดับมา4ปีแล้วไม่เห็นมีใครมาทำเลยแจ้งไฟฟ้าไปก็รับทราบก็ไม่มาทำมีพรรคเพื่อไทมาก็แจ้งไปก็เฉยพรรคก้วไกลก็เฉยรับทราบทุกคนแต่ไม่มาทำเลยตอนกลางคืนมืดมากๆมีอุบัติเหตุด้วยต้องให้เกิดเรื่องก่อนใช่ไหมค่ะรบกวนคุณชัยชาติมาตรวจสอบหน่อยค่ะ,"This light pole has been out of fire for 4 years. I didn't see anyone coming to do it. I informed the electricity and did not come to do. Do it at night. Very dark. There is an accident. Must have a story first, right? Please, please.",236
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/a0dd68e990cec45dfd1c3e6effe0e0607ccae3c7.jpg,ร้านขายยาตรงบีทีเอสปุณวิถี (ต้นซอยสุขุมวิท64) ติดตั้งท่อน้ำทิ้งระเบียงชั้น 2 ได้แย่มาก ปล่อยลงกลางฟุตบาทตรงๆ ทำให้คนเดินเท้าเปียก เทียบกับบ้านข้างๆ จะทำท่อยาวออกมาเพื่อไปลงถนน เดือดร้อนคนเดินเท้ามาก รบกวนแจ้งแก้ไขด่วน,Pharmacy at BTS Punwithi (The beginning of Soi Sukhumvit 64). Install the sewer pipe. The 2nd floor terrace is very bad. Let go directly into the footpath. Make people walking wet Compared to the house next to Will make a long pipe out to get off the road Very in trouble Please notify urgent edit.,217
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/7b1c3cfbb95c57e2f1a910c338ffae8e79a81a5d.jpg,รถขยะไม่เก็บขยะที่วางเอาไว้ให้ที่จุดจัดเก็บ,The garbage truck does not collect the garbage that is placed at the storage point.,43
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/0887d093de04f0c8dcdd71220251a6a9207ed2cc.jpg,ฟุตบาทตรงเส้นพระราม3 มีก้อนอิฐกองไม่เรียบร้อยขวางทางเดิน,Footprint at Rama 3 line There are not tidy bricks in the path.,56
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/b7e7befba1e8f4398531ecf293b77e0d9921e310.jpg,ทางเท้าเสียหายตลอดแนวผู้ใช้อาจเกิดอันตรายได้ สภาพไม่เหมาะสมกับมนุษย์จะใช้เป็นที่สัญจร,The sidewalk is damaged throughout the user line. The condition is not suitable for humans to be used as traveling.,85
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/229b99a783d1fa7af1120872f86290ce3c4bd60d.jpg,ถนนมีหลุม,The road has holes.,9
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/cdca7933c4ad78b35eca7d8d4338a061eb13f1aa.jpg,มีพวกวัชพืช ขึ้นบนสะพาน อยากให้ช่วยเอาออก เพราะอนาคตอาจเป็นอุปสรรคต่อการจราจร,"There are weeds on the bridge, wanting to help remove. Because the future may be an obstacle to traffic",77
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/b13cce9806fcc860e5577490eb464619ed012a18.jpg,ใบไม้ กิ่งไม้ บังสัญญาณไฟจราจร มานานแล้ว  อีกทั้งสายไฟก็หย่อนลงมาบังสัญญาณไฟจราจร ทำให้มองเห็นสัญญาณไฟไม่ชัด ยิ่งเวลาฝนตกยิ่งเห็นยากค่ะ,"The leaf, branches, shaking the traffic lights for a long time, and the wires dropped down to cover the traffic lights. Causing the signal to not be clear The more it rains, the more difficult it is.",135
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/d96de643e3b97ae076149256efff755711bbe3c1.jpg,มีแม่ค้ามาตั้งแผงขายของบริเวณทางม้าลายหน้าตลาดเสรี,There was a vendor setting up a selling stall in front of the free market.,50
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/b7a5629677aa35c6401cb3e5f8b6eaa05ebd9732.jpg,ฝาท่อแตกค่ะ,The pipe cover is broken.,11
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/a86e5e6f1ea701d8144c4cbf80362e6a43de925e.jpg,วันนี้ศรีอยุธยาแถวแยกวัดเบญมุ่งหน้าพระบรมรูปทรงม้าก็ยังปล่อยไปแบบติดไฟแดง 5 นาที ปล้อยไฟเขียว 15 วินาทีเหมือนเดิมนะคะ ระยะทางพ้นแยกประมาณ 150 m. จะติดไฟแดงสามรอบนี่ไม่ไหวนะคะ,"Today, Sri Ayutthaya, around Wat Ben Intersection, heading to the royal shape, still released for 5 minutes, the green light is 15 seconds as before. The distance is approximately 150 m. The red light will not be on.",174
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/6bf21d012620beee4e258cb73909878128707826.jpg,น้ำท่วมสูงในซอย กรุงเทพกรีฑา3 ประมาณ 40-50 cm  ขอให้ช่วยดำเนินการสูบน้ำ เฉพาะจุด นี้บ้าง ไม่ใช่รอ คลองลำสาลี หรือคลองหัวหมากน้ำลงอย่างเดียว ตอนนี้ น้ำขึ้นเร็วมาก   ความสูงระดับหัวเข่า น้ำท่วมน้อยกว่า 1 สัปดาห์,"High flood in the alley Krungthep Kreetha 3, about 40-50 cm, please help to pump only at this point, not waiting for the Lam Sheali Canal or Hua Mak Canal. Knee level height The flood is less than 1 week.",209
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/e6793a21f540977f84681f37e6d66a841f43c203.jpg,น้ำท่วมขัง ปั๊มน้ำที่แจ้งไว้ช่วยเหลือยังไม่ทำงานดครับ,Flooding water pumps that have been helped have not yet worked.,53
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/956bdd9c0f4a8aa477fb0b0067ade078e889359c.jpg,รถจักรยานยนต์ขับขี่บนสะพานภูมิพล1 มุ่งหน้าถนนพระรามสาม เวลา 7.3545 พฤหัสที่ 29 กันยายน2565 (แจ้งเรื่องนี้บ่อยมากแต่เจ้าหน้าที่ไม่สามารถจัดการปัญหาได้),Motorcycle driving on Bhumibol Bridge 1 Heading to Rama III Road at 7.3545 Thursday 29 September 2022 (reporting this very often but officials cannot handle the problem),150
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/08d2cbbaed4da9cfda2369c5897c52aae92c78b3.jpg,จอดรถปิดทางการจราจรตลอดเวลา เดินทางติดขัด,"Park the car, close the traffic all the time. Travel",41
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/9820952f7c506f3acf066a6fdacbe33edb334496.jpg,ช่วยส่งเจ้าหน้าที่มาตรวจสอบเส้นทาง การจราจรติดขัดมาก,Help send staff to check the route. Traffic is very polished.,52
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/ae30e3d032e1c61d3bc082c17edc95c93adb563f.jpg,น้ำท่วมสูงมาก เป็นระยะทางกว่า 500 เมตร ความสูงระดับหัวเข่า น้ำท่วมน้อยกว่า 1 วัน,"Very high flood For a distance of more than 500 meters, knee -height The flood is less than 1 day.",80
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/4ca2c37af86e2ba1975d49e4c50bab06681d735c.jpg,น้ำท่วมขังเป็นเดือน ความสูงระดับหน้าแข้ง น้ำท่วมมากกว่า 1 สัปดาห์,Flooded for months Shin height More than 1 week of flood,65
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/09f3a7def1addcaea5b8d1218783bcda75bd3f26.jpg,มีหลุมใหญ่ก่อนขี้นสะพานปิ่นเกล้า-ตลิ่งชันค่ะ รถจักรยานยนต์ตกหลายรอบแล้วค่ะ,There is a big hole before the Pinklao Bridge-Taling Chan. The motorcycle has fallen many times.,74
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/61ab883567a2d9165a9293f59cbab4cd5ae7ac91.jpg,น้ำท่วมซอยวัดอู่ตะเภา ความสูงระดับหัวเข่า น้ำท่วมมากกว่า 1 สัปดาห์,Flooding Soi Wat Utapao Knee level height More than 1 week of flood,66
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/4d115f87bd11eac5423a6b79e70d7b66f48be108.jpg,รถติดสะสมไม่ขยับมากกว่าครึ่งชั่วโมงแล้วไม่มีเจ้าหน้าที่อำนวยความสะดวก,The traffic jam does not move for more than half an hour. There is no convenience officer.,70
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/acc20bd6e3d1a032c6359f512b7481a0ea4a5eb7.jpg,- ถนนพัง สภาพซอยขรุขระ ผิวถนนหลุดร่อนเป็นหลุม ตลอดทั้งเส้น เวลาน้ำท่วมขัง ทำให้รถตกหลุมกระแทก ช่วยส่งเจ้าหน้าที่มาสำรวจหน่อยค่ะ (ระยะทางตั้งแต่ปากซอยจนถึงซอยคอกม้าค่ะ),- The road is broken. The road surface slipped into holes throughout the line when flooding. Causing the car to fall into Please send staff to explore. (Distance from the mouth of the alley to Soi Khok Ma),167
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/cf8624e447c04c7123ef03bec75efb1deaa79978.jpg,น้ำท่วมขัง ความสูงระดับหน้าแข้ง น้ำท่วมน้อยกว่า 1 วัน,Flooding in the height of the shin level The flood is less than 1 day.,53
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/1ce7cdc7c72ad7e5766da7e7ae0d2203736120d5.jpg,ถนนกลับรถใต้สะพาน ติดป้ายว่าสามารถไปได้(ก่อน 10.00 น.) แต่เข้าไปแล้วไม่สามารถสัญจรได้ ยังคงมีนั่งร้านตั้งขวางกลางถนน รถยนต์ไม่สามารถไปได้,U -turn road under the bridge Put the sign that can go (before 10:00 am) but can not travel There is still a scaffolding in the middle of the road. Car cannot go,137
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/bf4bab9a2a618785765c0cd1f8b6507901f17ea4.jpg,ขอให้เขตวัฒนามาช่วยดำเนินการตรวจสอบความมั่นคงแข็งแรงของอาคารสำนักงานอธิการบดีมหาวิทยาลัยศรีนครินทรวิโรฒประสานมิตรอาคาร 9 บริเวณชั้น 5 ส่วนแผนและยุทธศาสตร์และฝ่ายบริหารข้อมูลมีโครงสร้างเสาอาคารและพื้นมีรอยร้าวและปูนระเบิดซึ่งอาจทำให้เกิดอันตรายแก่บุคลากรนิสิตและผู้มาติดต่อราชการ,"Requesting the Wattana District to help investigate the stability of the Office of the President of Srinakharinwirot University, Prasarnmit, Building 9, 5th floor. The plan and strategy and data management have the structure of the building and the floor with cracks and cement, which may cause danger to Student personnel and government contacts",278
